Media;Datumlabel;Begindatum;Materiaal en techniek;Hoogte;Breedte;Diepte;Afmetingenlabel
1;1980-1994;1980;textiel, kunststof, kleurstof, metaal;54;40;8;H 54 X B 40 X D 8,0 cm.
1;1993;1993;kunststof, metaal;50;39;5;H 50 X B 39 X D 5,0 cm.
1;1970-1980;1970;textiel, kunststof;45;39;4;H 45 X B 39 X D 4,0 cm.
1;1960-1980;1960;leer, textiel, metaal;44;50;16;H 44 X B 50 X D 16 cm.
2;1950-1980;1950;leer, textiel, metaal;34;43;13;H 34 X B 43 X D 13 cm.
2;1950-1975;1950;leer, metaal, textiel;37;38;5;H 37 X B 38 X D 5,0 cm.
1;ca. 1930;1930;leer, textiel, metaal;32;39;4;H 32 X B 39 X D 4,0 cm.
1;ca. 1915;1915;leer, textiel, metaal;34;41;5;H 34 X B 41 X D 5,0 cm.
1;1950-1959;1950;leer, textiel, metaal;34;45;7;H 34 X B 45 X D 7,0 cm.
2;1950-1970;1950;leer, textiel, metaal;37;38;3.5;H 37 X B 38 X D 3,5 cm.
1;1980-1999;1980;linnen, kleurstof;80;38;0.5;H 80 X B 38 X D 0,5 cm.,
1;1980-1999;1980;linnen, kleurstof;70;38;0.5;H 70 X B 38 X D 0,5 cm.
1;1980-1999;1980;linnen, kleurstof;57;37;0.5;H 57 X B 37 X D 0,5 cm.
1;1989;1989;textiel, kunststof, kleurstof;44;46;8;H 44 X B 46 X D 8,0 cm.
1;1950-1960;1950;leer, textiel, metaal;34;40;6;H 34 X B 40 X D 6,0 cm.
1;1980-1999;1980;plastic, kleurstof;45;38;0.5;45 X 38 X 0,5 cm.
1;1960-1975;1960;leer, metaal, textiel, kleurstof;34;36;8;H 34  X B 36 X D 8,0 cm.
1;1960-1980;1960;leer, textiel, metaal;32;42;16;H 32 X B 42 X D 16 cm.
1;ca. 1970;1970;leer, textiel, metaal;30;40;20;H 30 X B 40 X D 20 cm.
1;1970 - 09/1988;0;leer, textiel, metaal;30;44;10;H 30 X B 44 X D 10 cm.
2;1800-1899;1800;vurehout, metaal, verfstof, papier;10;25;55;H 10 X B 25 X D 55 cm.
2;1880 & 1891;1880;grenehout, beits, metaal, touw, verfstof, papier, inkt;8;29;7;ingeklapte toestand: H 8 X B 29 X D 7 cm.
1;ca. 1900;1900;hout;26;20;8;H 26 X B 20 X D 8,0 cm.
2;1800-1899;1800;hout, metaal;8;23;41;H 8,0 X B 23 X D 41 cm.
1;1960-1970;1960;leer, metaal, papier, inkt;40;25;27;H 40 X B 25 X D 27cm.
1;1960-1980;1960;textiel, papier, leer, kunststof, metaal, verfstof;39;28;6;tas: H 38 X B 28 X D 6 cm.
1;1950-1980;1950;;10;15;4;H 10 X B 15 X D 4,0
1;1800-1875;1800;eikehout, metaal;41;21;9;H 41 X B 21 X D 9,0 cm.
1;1881;1881;eikehout, metaal, verfstof;51;28;10;H 51 X B 28 X D 10 cm.
1;1850-1920;1850;hout, metaal, leer, lak;33;25;2;H 33 X B 25 X D 2,0 cm.
1;1987;1987;textiel, kunststof, kleurstof;37;48;7;H 37 X B 48 X D 7,0 cm.
1;1970-1994;1970;textiel, kunststof, metaal;34;29;3;H 34 X B 29 X D 3,0 cm.
1;1970-1994;1970;kunststof,  textiel, metaal;40;34;3;H 40 X B 34 X D 3,0 cm.
